Afstandsonderwijs	849576
Algemene_verordening_gegevensbescherming	4576627
Auteursrecht	237
Bruikbaarheid	62700
Computercriminaliteit	44076
Decentralisatie	41508
Deeleconomie	4014455
Digitale_kloof	601413
Discriminatie	13366
Duurzaamheid	141209
E-government	736669
E-procurement	1084660
EHealth	2160392
Electronic_commerce	78354
Gebruikersbeheer	646301
Gepersonaliseerd_adverteren	2723005
Informatieluchtbel	4758677
Informatiemaatschappij	1187231
Innovatie	50742
Intellectuele_eigendom	9746
Internetfraude	341796
Internettoegang	3760824
Interoperabiliteit	2905715
Jeugdzorg_(algemeen)	1785322
Kringloopeconomie	4417851
Level_playing_field	1269793
Mededingingsrecht	148816
Mondialisering	111685
Monopolie	19671
Nepnieuws	4796697
Netneutraliteit	1080815
Netwerkbeveiliging	451345
Opbouwwerk	89650
Open_access	78998
Open_data	2313275
Open_innovatie	1413328
Open_source	3147
Open_standaard	248704
Openbaarheid_van_bestuur	153049
Opensourcesoftware	1280
Participatiedemocratie	807258
Peer-to-peer	29063
Persoonsgegevens	806326
Polarisatie_(conflict)	99179
Post-truth_politics	4827416
Prijsdiscriminatie	982389
Principe_van_Kerckhoffs	2322155
Recht_om_vergeten_te_worden	4030977
Schaalbaarheid	2014917
Slimme_stad	4730683
Sociaalnetwerksite	1080520
Sociale_innovatie	1148790
Sociale_media	1651270
Sociale_ongelijkheid	2151592
Ubiquitous_computing	4121320
Virtuele_gemeenschap	538946
Vrijheid_van_meningsuiting	50193
